"mpio","dep","pob","emplserv","mpionombre","depnombre","ind"
54001,54,561837,1201,"Cúcuta","Norte de Santander",213.763066512173
54518,54,46678,99,"Pamplona","Norte de Santander",212.091349243755
19392,19,1416,3,"La Sierra","Cauca",211.864406779661
25745,25,5692,12,"Simijaca","Cundinamarca",210.822206605762
81794,81,17089,36,"Tame","Arauca",210.661829246884
52385,52,1901,4,"La Llanada","Nariño",210.415570752236
15646,15,4796,10,"Samacá","Boyacá",208.507089241034
25807,25,481,1,"Tibirita","Cundinamarca",207.900207900208
25815,25,9668,20,"Tocaima","Cundinamarca",206.868018204386
52885,52,2423,5,"Yacuanquer","Nariño",206.355757325629
27491,27,1940,4,"Nóvita","Chocó",206.185567010309
70708,70,29122,60,"San Marcos","Sucre",206.029805645217
5380,5,28179,58,"La Estrella","Antioquia",205.827034316335
5154,5,70737,145,"Caucasia","Antioquia",204.984661492571
18860,18,2934,6,"Valparaíso","Caquetá",204.498977505112
13836,13,57998,118,"Turbaco","Bolívar",203.455291561778
25281,25,1475,3,"Fosca","Cundinamarca",203.389830508475
52250,52,6917,14,"El Charco","Nariño",202.399884342923
5467,5,1983,4,"Montebello","Antioquia",201.714573877963
15600,15,2495,5,"Ráquira","Boyacá",200.400801603206
86568,86,27065,54,"Puerto Asís","Putumayo",199.519674856826
47703,47,1504,3,"San Zenón","Magdalena",199.468085106383
52051,52,1011,2,"Arboleda","Nariño",197.82393669634
73268,73,53623,106,"Espinal","Tolima",197.676370214274
23678,23,4565,9,"San Carlos","Córdoba",197.152245345016
23807,23,33006,65,"Tierralta","Córdoba",196.933890807732
17444,17,5611,11,"Marquetalia","Caldas",196.043486009624
50606,50,6636,13,"Restrepo","Meta",195.901145268234
15272,15,2045,4,"Firavitoba","Boyacá",195.59902200489
25407,25,2049,4,"Lenguazaque","Cundinamarca",195.217179111762
25297,25,3089,6,"Gachetá","Cundinamarca",194.237617351894
5665,5,11850,23,"San Pedro de Uraba","Antioquia",194.092827004219
27075,27,4142,8,"Bahía Solano","Chocó",193.143408981169
41319,41,4663,9,"Guadalupe","Huila",193.008792622775
13473,13,4665,9,"Morales","Bolívar",192.926045016077
5113,5,1037,2,"Buriticá","Antioquia",192.864030858245
68320,68,1572,3,"Guadalupe","Santander",190.839694656489
52506,52,2097,4,"Ospina","Nariño",190.748688602766
52215,52,2101,4,"Córdoba","Nariño",190.385530699667
15224,15,1576,3,"Cucaita","Boyacá",190.355329949239
68669,68,2642,5,"San Andrés","Santander",189.250567751703
5364,5,6877,13,"Jardín","Antioquia",189.035916824197
41359,41,4786,9,"Isnos","Huila",188.048474717927
68444,68,1079,2,"Matanza","Santander",185.356811862836
25871,25,543,1,"Villagómez","Cundinamarca",184.162062615101
25486,25,4899,9,"Nemocón","Cundinamarca",183.710961420698
73352,73,3269,6,"Icononzo","Tolima",183.542367696543
68179,68,546,1,"Chipatá","Santander",183.150183150183
70235,70,10387,19,"Galeras","Sucre",182.920958890921
13300,13,2735,5,"Hatillo de Loba","Bolívar",182.815356489945
25320,25,14845,27,"Guaduas","Cundinamarca",181.879420680364
25040,25,3850,7,"Anolaima","Cundinamarca",181.818181818182
47720,47,6123,11,"Santa Bárbara de Pinto","Magdalena",179.650498121836
54174,54,3351,6,"Chitagá","Norte de Santander",179.05102954342
15740,15,1120,2,"Siachoque","Boyacá",178.571428571429
15822,15,562,1,"Tota","Boyacá",177.935943060498
13006,13,3381,6,"Achí","Bolívar",177.462289263532
68533,68,1129,2,"Páramo","Santander",177.147918511957
20787,20,5092,9,"Tamalameque","Cesar",176.747839748625
54051,54,2270,4,"Arboledas","Norte de Santander",176.211453744493
66170,66,164049,289,"Dosquebradas","Risaralda",176.166876969686
19450,19,4550,8,"Mercaderes","Cauca",175.824175824176
15248,15,1142,2,"El Espino","Boyacá",175.131348511384
41530,41,1719,3,"Palestina","Huila",174.520069808028
15172,15,1147,2,"Chinavita","Boyacá",174.3679163034
25326,25,1730,3,"Guatavita","Cundinamarca",173.410404624277
54313,54,2891,5,"Gramalote","Norte de Santander",172.950536146662
73168,73,24868,43,"Chaparral","Tolima",172.912980537237
18785,18,2892,5,"Solita","Caquetá",172.890733056708
25491,25,1746,3,"Nocaima","Cundinamarca",171.821305841924
50251,50,1763,3,"El Castillo","Meta",170.164492342598
25368,25,589,1,"Jerusalén","Cundinamarca",169.779286926995
81001,81,62033,105,"Arauca","Arauca",169.264746183483
85410,85,10177,17,"Tauramena","Casanare",167.043333005797
5819,5,1199,2,"Toledo","Antioquia",166.805671392827
5659,5,6615,11,"San Juan de Urabá","Antioquia",166.288737717309
25862,25,1204,2,"Vergara","Cundinamarca",166.112956810631
81300,81,3010,5,"Fortul","Arauca",166.112956810631
41797,41,4874,8,"Tesalia","Huila",164.136233073451
23068,23,20922,34,"Ayapel","Córdoba",162.508364401109
25245,25,7412,12,"El Colegio","Cundinamarca",161.899622234215
25743,25,5559,9,"Silvania","Cundinamarca",161.899622234215
15189,15,1240,2,"Ciénega","Boyacá",161.290322580645
23079,23,6834,11,"Buenavista","Córdoba",160.9599063506
76834,76,155731,249,"Tuluá","Valle del Cauca",159.89109425869
47288,47,49415,79,"Fundación","Magdalena",159.870484670647
25394,25,3765,6,"La Palma","Cundinamarca",159.362549800797
52083,52,2515,4,"Belén","Nariño",159.045725646123
19809,19,2530,4,"Timbiquí","Cauca",158.102766798419
47707,47,11400,18,"Santa Ana","Magdalena",157.894736842105
15693,15,5703,9,"Santa Rosa de Viterbo","Boyacá",157.811678064177
15047,15,5741,9,"Aquitania","Boyacá",156.76711374325
97161,97,641,1,"Caruru","Vaupés",156.00624024961
44279,44,18957,29,"Fonseca","La Guajira",152.977791844701
17050,17,6584,10,"Aranzazu","Caldas",151.883353584447
44098,44,3984,6,"Distracción","La Guajira",150.602409638554
25438,25,3332,5,"Medina","Cundinamarca",150.060024009604
68081,68,166405,248,"Barrancabermeja","Santander",149.033983353866
19548,19,12754,19,"Piendamó","Cauca",148.972871256077
25596,25,672,1,"Quipile","Cundinamarca",148.809523809524
52224,52,2020,3,"Cuaspud","Nariño",148.514851485149
5842,5,2022,3,"Uramita","Antioquia",148.367952522255
